acctnum,gender,state,zip,zip3,first,last,book_,nonbook_,total_,purch,child,youth,cook,do_it,reference,art,geog,buyer
10023,M,NJ,7666,76,55,28,103,287,390,9,2,0,3,1,1,1,1,no
10024,F,NY,11024,110,5,6,32,85,117,2,0,0,0,0,0,1,1,no
10025,F,PA,19020,190,21,18,25,272,297,2,0,1,1,0,0,0,0,no
10026,F,NY,11429,114,15,20,16,14,30,1,1,0,0,0,0,0,0,no
10027,M,MD,21037,210,25,16,83,243,326,7,1,0,2,2,0,1,1,no
10028,F,MD,21133,211,67,18,139,74,213,12,2,0,6,1,1,0,2,no
10029,M,NY,11373,113,9,10,31,100,131,2,0,1,0,0,0,1,0,no
10030,F,PA,19382,193,13,16,17,225,242,1,1,0,0,0,0,0,0,no
10031,M,DE,19971,199,61,29,140,66,206,12,3,0,3,4,0,0,2,no
10032,F,NY,11374,113,59,11,114,186,300,9,2,0,1,0,1,1,4,no
10033,F,NY,11558,115,15,19,19,239,258,1,1,0,0,0,0,0,0,no
10034,F,NY,10573,105,27,6,97,255,352,9,3,0,4,0,0,2,0,no
10035,F,PA,15235,152,19,15,35,103,138,2,0,0,0,0,0,1,1,no
10036,F,PA,16506,165,9,13,19,56,75,1,0,0,0,1,0,0,0,no
10037,F,VI,841,8,7,12,15,40,55,1,0,0,0,0,0,0,1,no
10038,M,MD,21087,210,13,17,16,131,147,1,0,0,0,1,0,0,0,no
10039,F,NY,14020,140,21,25,18,175,193,1,0,0,1,0,0,0,0,no
10040,F,NJ,7208,72,9,13,17,108,125,1,1,0,0,0,0,0,0,no
10041,M,NJ,7740,77,31,20,74,266,340,6,2,0,1,1,0,2,0,yes
10042,F,NJ,7105,71,13,14,28,221,249,2,1,0,1,0,0,0,0,no
10043,F,MA,2791,27,45,5,131,132,263,11,1,2,3,1,0,1,3,no
10044,F,NY,14004,140,37,18,101,37,138,9,1,1,3,2,0,1,1,no
10045,F,NY,12438,124,33,35,19,37,56,1,0,0,1,0,0,0,0,no
10046,F,NH,3840,38,55,25,81,60,141,7,2,1,2,0,1,0,1,no
10047,F,NY,12866,128,1,6,18,213,231,1,0,1,0,0,0,0,0,no
10048,M,MA,2194,21,83,33,126,321,447,11,3,0,2,2,0,3,1,no
10049,F,CT,6033,60,19,15,31,122,153,2,1,0,0,1,0,0,0,no
10050,F,MD,21209,212,31,16,46,295,341,4,1,2,0,0,0,0,1,no
10051,F,NY,11530,115,9,13,17,242,259,1,0,0,1,0,0,0,0,no
10052,F,NY,10471,104,23,26,24,79,103,2,2,0,0,0,0,0,0,no
10053,M,NY,11762,117,45,18,68,135,203,6,2,1,2,1,0,0,0,no
10054,F,NJ,7481,74,19,21,32,237,269,2,0,0,1,0,1,0,0,no
10055,F,NY,14217,142,77,9,140,49,189,12,2,1,3,0,1,1,4,yes
10056,M,NY,10308,103,49,13,95,56,151,8,1,1,4,0,0,1,1,no
10057,F,CT,6320,63,5,8,20,196,216,1,0,0,1,0,0,0,0,no
10058,M,MA,2324,23,31,8,64,230,294,5,1,1,1,1,0,0,1,no
10059,F,NJ,7044,70,9,9,30,68,98,2,0,0,1,0,0,0,1,no
10060,F,NJ,8701,87,11,10,28,120,148,2,1,0,1,0,0,0,0,no
10061,F,PA,19464,194,15,18,21,175,196,1,0,0,0,0,0,0,1,no
10062,F,NY,11788,117,13,17,16,239,255,1,0,0,0,0,0,1,0,no
10063,M,CT,6810,68,43,18,68,118,186,6,1,0,3,1,0,1,0,no
10064,F,PA,19146,191,5,4,34,114,148,2,0,1,0,0,0,0,1,no
10065,M,DE,19901,199,13,14,31,153,184,2,1,0,0,0,0,0,1,no
10066,M,NJ,7746,77,17,10,42,84,126,3,0,0,1,0,0,0,2,no
10067,F,NY,14207,142,11,15,18,175,193,1,0,0,0,0,0,1,0,no
10068,M,NJ,7506,75,63,14,131,123,254,12,4,2,1,2,1,1,1,no
10069,M,NJ,7006,70,67,31,118,204,322,10,3,0,1,2,0,2,2,no
10070,F,MA,2110,21,5,9,16,246,262,1,1,0,0,0,0,0,0,no
10071,F,CT,6010,60,13,18,20,240,260,1,0,1,0,0,0,0,0,no
10072,F,PA,18212,182,29,17,47,291,338,4,1,2,0,0,0,1,0,no
10073,M,PA,19111,191,41,20,63,119,182,5,2,0,0,1,0,1,1,yes
10074,F,NJ,8030,80,65,19,120,276,396,11,4,2,2,0,0,0,3,no
10075,M,RI,2906,29,39,17,80,172,252,7,1,0,4,1,1,0,0,no
10076,F,NY,11370,113,31,17,55,23,78,4,2,0,0,0,0,1,1,no
10077,M,NJ,7726,77,25,16,58,178,236,5,1,0,1,2,1,0,0,no
10078,F,NY,10308,103,9,13,18,269,287,1,0,1,0,0,0,0,0,no
10079,F,DE,19703,197,13,17,18,172,190,1,1,0,0,0,0,0,0,no
10080,F,NJ,8619,86,63,35,119,280,399,11,7,1,0,0,1,1,1,no
10081,F,PA,17868,178,9,13,18,237,255,1,0,0,0,0,0,1,0,no
10082,F,CT,6492,64,13,17,18,186,204,1,0,0,0,1,0,0,0,no
10083,F,NJ,8520,85,53,11,102,54,156,8,1,0,1,0,2,4,0,yes
10084,F,MA,2176,21,17,18,30,157,187,2,0,0,0,1,0,1,0,no
10085,F,NY,11733,117,13,18,17,259,276,1,0,0,1,0,0,0,0,no
10086,F,NY,11030,110,11,15,19,36,55,1,0,0,0,1,0,0,0,no
10087,M,MA,2050,20,15,18,17,55,72,1,0,0,0,0,1,0,0,no
10088,F,PA,15644,156,25,29,21,157,178,1,0,0,1,0,0,0,0,no
10089,F,PA,15202,152,37,3,86,266,352,7,1,1,2,0,1,0,2,no
10090,F,NY,10465,104,19,11,39,202,241,3,0,1,1,0,0,0,1,no
10091,M,NY,11201,112,35,12,144,57,201,12,3,0,4,2,2,1,0,no
10092,F,MA,2121,21,37,7,143,297,440,12,2,0,3,2,1,2,2,yes
10093,M,NJ,8086,80,41,38,29,148,177,2,0,0,0,0,2,0,0,no
10094,M,NJ,8520,85,15,13,33,98,131,2,0,1,0,0,0,0,1,no
10095,M,NJ,7054,70,19,6,53,226,279,4,0,0,2,1,0,1,0,no
10096,M,NY,10923,109,27,24,32,210,242,2,0,0,1,0,0,0,1,no
10097,F,NY,12601,126,19,18,29,238,267,2,1,0,1,0,0,0,0,no
10098,F,NJ,8520,85,25,17,49,25,74,4,1,1,1,0,0,0,1,no
10099,F,NY,10010,100,19,17,30,246,276,2,1,0,0,0,0,1,0,no
10100,M,NY,11743,117,17,5,45,281,326,3,0,0,0,1,0,2,0,yes
10101,F,NY,11224,112,35,37,34,168,202,2,0,0,0,0,0,0,2,no
10102,F,NY,13413,134,9,5,31,274,305,2,0,0,1,1,0,0,0,no
10103,F,NY,10566,105,3,6,19,253,272,1,0,0,0,0,0,0,1,yes
10104,M,PA,17201,172,1,3,21,74,95,1,0,0,0,0,0,0,1,no
10105,F,MD,21001,210,19,17,28,82,110,2,1,0,1,0,0,0,0,no
10106,M,MD,20748,207,37,36,28,229,257,2,1,1,0,0,0,0,0,no
10107,M,PA,17013,170,13,15,19,47,66,1,0,0,0,1,0,0,0,no
10108,M,PA,19085,190,23,11,84,171,255,7,3,0,1,0,1,1,1,no
10109,F,MD,21209,212,59,27,82,260,342,7,1,0,3,1,1,1,0,no
10110,M,MA,2673,26,35,17,134,150,284,12,3,2,1,2,2,1,1,no
10111,F,CT,6282,62,47,17,86,159,245,7,2,0,1,0,1,0,3,no
10112,F,MA,1826,18,13,15,16,120,136,1,1,0,0,0,0,0,0,no
10113,F,MA,1238,12,9,15,20,67,87,1,0,0,0,0,0,0,1,no
10114,F,NY,10475,104,37,27,67,92,159,5,0,0,1,0,0,2,2,no
10115,F,NJ,7646,76,13,18,17,34,51,1,1,0,0,0,0,0,0,no
10116,F,ME,4444,44,9,9,26,188,214,2,1,0,1,0,0,0,0,no
10117,M,NJ,8210,82,59,11,145,223,368,11,3,0,0,0,1,1,6,yes
10118,F,NY,11561,115,13,17,20,233,253,1,0,1,0,0,0,0,0,no
10119,F,NJ,7840,78,9,5,26,159,185,2,1,0,1,0,0,0,0,no
10120,F,NY,11787,117,19,15,58,199,257,4,1,0,0,0,1,1,1,yes
10121,F,PA,19144,191,57,15,105,152,257,9,2,0,3,0,1,1,2,no
10122,M,MA,1970,19,13,12,28,78,106,2,0,0,0,0,2,0,0,no
10123,F,NY,11230,112,19,23,19,98,117,1,1,0,0,0,0,0,0,no
10124,M,NJ,8848,88,53,19,128,207,335,11,2,0,4,2,2,1,0,no
10125,F,MD,20715,207,27,16,66,161,227,6,2,1,2,0,0,1,0,no
10126,F,NY,10956,109,21,24,17,66,83,1,0,0,1,0,0,0,0,no
10127,M,NY,13820,138,37,13,122,210,332,10,0,0,5,2,1,2,0,no
10128,F,MA,2043,20,15,20,19,103,122,1,0,1,0,0,0,0,0,no
10129,F,NJ,7001,70,21,10,33,280,313,3,1,0,1,0,0,0,1,no
10130,F,NY,11219,112,33,30,29,289,318,2,0,0,1,1,0,0,0,no
10131,F,NY,11040,110,21,19,29,299,328,2,0,1,0,0,1,0,0,no
10132,M,MD,21209,212,37,18,59,33,92,5,1,0,1,2,1,0,0,no
10133,F,NY,10002,100,65,31,129,203,332,11,0,3,4,1,2,0,1,no
10134,F,PA,19063,190,29,34,18,240,258,1,0,0,1,0,0,0,0,no
10135,F,NY,11742,117,13,17,17,160,177,1,0,0,0,0,1,0,0,no
10136,F,NY,11967,119,61,5,137,64,201,12,2,3,2,1,0,2,2,yes
10137,M,DE,19808,198,11,11,29,256,285,2,0,2,0,0,0,0,0,yes
10138,F,NY,10605,106,55,31,91,209,300,7,1,0,2,1,0,1,2,no
10139,F,NJ,7950,79,19,16,33,217,250,3,1,1,0,1,0,0,0,no
10140,M,PA,19154,191,11,12,33,8,41,2,0,0,1,0,0,0,1,no
10141,M,NY,11358,113,27,23,28,264,292,2,0,1,1,0,0,0,0,no
10142,F,NY,14895,148,29,34,16,56,72,1,0,0,1,0,0,0,0,no
10143,F,NY,11942,119,27,14,43,55,98,3,0,0,2,0,1,0,0,no
10144,M,PA,17602,176,19,15,28,19,47,2,0,0,2,0,0,0,0,no
10145,F,NY,14170,141,49,16,137,259,396,11,3,0,3,0,0,2,3,yes
10146,F,MD,20906,209,5,10,18,196,214,1,0,0,0,0,0,1,0,no
10147,F,NY,10509,105,27,31,19,25,44,1,0,0,0,0,0,0,1,no
10148,F,MA,1451,14,29,26,30,189,219,2,0,0,1,0,0,0,1,no
10149,F,NJ,7758,77,19,19,30,143,173,2,0,0,0,1,1,0,0,no
10150,F,PA,17033,170,37,12,80,62,142,7,2,3,0,0,0,1,1,yes
10151,F,NJ,8043,80,57,19,106,160,266,9,5,0,2,0,0,0,2,no
10152,F,NY,12203,122,31,7,115,86,201,10,2,1,4,0,1,1,1,no
10153,F,MA,2673,26,23,9,39,218,257,3,0,0,1,1,0,1,0,no
10154,M,NY,11224,112,21,22,33,154,187,2,0,0,1,0,0,0,1,no
10155,F,DE,19810,198,53,19,73,115,188,7,2,1,3,1,0,0,0,no
10156,F,NJ,7087,70,23,7,60,263,323,5,2,0,2,0,0,0,1,no
10157,F,NJ,8882,88,69,34,131,95,226,11,3,0,4,1,1,0,2,no
10158,M,CT,6759,67,19,18,31,114,145,2,0,1,0,0,0,1,0,yes
10159,M,NY,10452,104,17,14,28,226,254,2,0,0,2,0,0,0,0,yes
10160,F,NY,11360,113,1,4,20,187,207,1,0,0,0,0,1,0,0,no
10161,M,NY,11758,117,29,15,52,294,346,4,0,0,3,0,0,0,1,no
10162,F,NY,11206,112,11,13,19,293,312,1,0,0,0,0,0,0,1,no
10163,F,NH,3063,30,11,14,17,298,315,1,0,0,1,0,0,0,0,no
10164,F,NJ,8854,88,1,4,18,198,216,1,0,0,0,0,0,1,0,no
10165,F,MA,1237,12,7,8,31,230,261,2,0,1,0,0,0,1,0,no
10166,F,PA,15122,151,11,16,21,12,33,1,0,0,1,0,0,0,0,no
10167,M,NJ,8753,87,25,17,78,29,107,7,3,0,2,0,0,2,0,no
10168,F,NY,11354,113,13,19,18,41,59,1,0,0,1,0,0,0,0,no
10169,F,PA,15090,150,9,13,16,228,244,1,0,0,0,0,0,0,1,no
10170,F,PA,18704,187,13,13,29,32,61,2,0,0,2,0,0,0,0,no
10171,F,MD,21215,212,23,28,18,5,23,1,0,0,1,0,0,0,0,no
10172,F,PA,15068,150,15,20,20,195,215,1,1,0,0,0,0,0,0,no
10173,F,NY,11230,112,11,15,15,237,252,1,1,0,0,0,0,0,0,no
10174,F,NJ,8052,80,23,27,18,288,306,1,0,0,0,0,0,1,0,no
10175,F,MA,1824,18,5,7,31,23,54,2,1,0,0,0,0,0,1,no
10176,F,NY,11419,114,67,17,123,171,294,10,0,1,3,1,3,0,2,no
10177,F,PA,16701,167,57,12,141,158,299,12,5,1,4,0,0,0,2,no
10178,M,NY,11205,112,17,18,33,101,134,2,1,0,0,0,0,0,1,yes
10179,F,NY,13839,138,31,27,32,89,121,2,0,0,1,0,0,1,0,no
10180,F,NY,14220,142,5,8,16,293,309,1,0,0,0,0,0,1,0,yes
10181,F,NJ,7017,70,3,4,27,275,302,2,0,0,1,1,0,0,0,no
10182,F,PA,19390,193,21,21,32,4,36,2,0,0,0,1,0,0,1,no
10183,M,NY,11596,115,65,15,141,195,336,12,3,3,5,0,0,1,0,no
10184,F,PA,18072,180,21,26,19,107,126,1,1,0,0,0,0,0,0,no
10185,F,NJ,7901,79,25,4,105,239,344,9,1,3,3,0,1,0,1,no
10186,F,MA,2155,21,19,22,31,103,134,2,1,0,0,0,0,0,1,no
10187,F,MA,2154,21,27,9,75,289,364,6,0,1,1,0,1,2,1,yes
10188,F,NY,11803,118,39,37,33,190,223,2,0,0,1,0,0,0,1,no
10189,M,NY,12701,127,23,13,38,284,322,3,0,1,2,0,0,0,0,no
10190,F,NY,10463,104,9,12,19,184,203,1,0,0,0,1,0,0,0,no
10191,F,NY,11429,114,29,27,27,301,328,2,2,0,0,0,0,0,0,no
10192,M,NY,10016,100,17,4,52,283,335,4,1,0,1,0,0,1,1,no
10193,F,NJ,7067,70,3,5,16,48,64,1,0,0,0,1,0,0,0,no
10194,F,NY,11010,110,57,22,90,177,267,7,2,0,1,0,1,1,2,no
10195,F,MD,21229,212,37,40,31,117,148,2,0,0,1,0,0,0,1,no
10196,F,NJ,8817,88,17,12,31,223,254,2,1,0,0,0,0,1,0,yes
10197,F,NY,11727,117,13,10,33,46,79,2,0,0,1,0,0,0,1,no
10198,F,PA,18042,180,11,15,17,269,286,1,0,0,0,0,0,0,1,no
10199,F,NY,11429,114,57,16,101,74,175,8,1,0,1,2,1,1,2,no
10200,M,MD,20906,209,71,35,148,106,254,12,4,0,1,2,2,2,1,no
10201,F,NY,11207,112,1,6,20,42,62,1,0,0,0,0,0,0,1,no
10202,M,PA,19067,190,73,37,132,131,263,11,0,2,3,5,0,1,0,no
10203,F,NY,11367,113,53,7,116,67,183,10,2,0,5,1,1,0,1,no
10204,F,MD,21108,211,19,19,29,227,256,2,1,1,0,0,0,0,0,no
10205,F,NJ,7760,77,19,13,40,265,305,3,1,0,1,0,0,1,0,no
10206,M,ME,4107,41,69,14,125,259,384,11,2,0,5,2,1,1,0,no
10207,F,NJ,7305,73,1,3,19,299,318,1,0,0,1,0,0,0,0,no
10208,F,NJ,8080,80,31,30,33,3,36,2,1,0,0,0,0,0,1,no
10209,F,NY,10549,105,27,9,74,196,270,6,0,1,3,0,1,0,1,no
10210,M,NJ,7012,70,41,19,141,138,279,12,2,1,5,0,0,1,3,no
10211,F,MD,20639,206,15,20,15,234,249,1,1,0,0,0,0,0,0,yes
10212,F,NJ,8648,86,11,14,19,137,156,1,1,0,0,0,0,0,0,no
10213,F,NJ,7508,75,21,12,41,64,105,3,0,0,2,0,0,1,0,no
10214,M,PA,19460,194,23,29,19,162,181,1,0,0,0,0,0,1,0,no
10215,M,NJ,7726,77,9,12,18,199,217,1,1,0,0,0,0,0,0,no
10216,M,MD,21043,210,17,14,30,250,280,2,0,0,0,1,0,1,0,no
10217,M,NY,11434,114,25,23,30,137,167,2,0,0,1,0,1,0,0,no
10218,F,PA,15205,152,7,8,33,242,275,2,0,1,0,0,0,0,1,no
10219,F,MD,21234,212,15,19,17,24,41,1,0,1,0,0,0,0,0,no
10220,M,MA,1890,18,73,30,141,277,418,12,5,1,0,2,1,1,2,no
10221,F,MA,1960,19,17,17,33,96,129,2,1,0,0,0,1,0,0,no
10222,F,PA,19606,196,17,19,31,40,71,2,0,0,1,0,0,0,1,no
10223,F,MA,1236,12,49,16,121,194,315,9,0,0,2,1,0,0,6,yes
10224,F,NY,10301,103,11,15,17,18,35,1,0,1,0,0,0,0,0,no
10225,F,NJ,8332,83,15,19,17,157,174,1,0,0,0,0,1,0,0,no
10226,F,MA,2368,23,19,20,28,211,239,2,0,1,1,0,0,0,0,no
10227,F,NJ,8889,88,3,6,17,91,108,1,0,0,0,0,1,0,0,no
10228,M,PA,17055,170,25,9,103,318,421,9,1,3,2,2,0,0,1,no
10229,F,NY,11542,115,21,6,67,157,224,5,0,0,4,0,1,0,0,no
10230,M,PA,15238,152,11,12,27,154,181,2,0,1,0,1,0,0,0,yes
10231,M,CT,6226,62,33,33,31,199,230,2,1,0,0,0,0,1,0,yes
10232,F,NY,14218,142,9,11,35,237,272,2,1,0,0,0,0,0,1,no
10233,M,PA,15056,150,57,18,125,315,440,11,5,0,2,2,0,2,0,no
10234,F,NY,11365,113,9,14,17,173,190,1,1,0,0,0,0,0,0,no
10235,M,MD,21044,210,37,11,77,211,288,6,0,0,2,2,0,1,1,no
10236,M,PA,15108,151,33,7,108,203,311,9,0,2,3,0,2,0,2,no
10237,M,NJ,7010,70,35,35,29,137,166,2,0,0,2,0,0,0,0,no
10238,F,NY,14072,140,65,27,142,232,374,12,3,2,4,0,1,0,2,no
10239,F,MD,21042,210,1,3,21,29,50,1,0,0,1,0,0,0,0,yes
10240,F,CT,6488,64,23,26,20,100,120,1,0,0,0,0,0,1,0,no
10241,F,NY,11224,112,37,32,33,192,225,2,0,1,0,0,0,0,1,no
10242,M,PA,16648,166,53,37,87,157,244,8,3,2,2,0,0,0,1,no
10243,M,MA,2062,20,3,5,27,79,106,2,1,1,0,0,0,0,0,no
10244,M,PA,19355,193,21,5,94,256,350,8,2,0,1,0,1,3,1,yes
10245,M,NJ,7724,77,61,27,138,195,333,12,2,3,0,2,3,2,0,no
10246,M,NJ,7109,71,43,21,72,40,112,6,1,2,0,2,1,0,0,no
10247,F,NY,12538,125,15,20,16,152,168,1,0,1,0,0,0,0,0,no
10248,M,CT,6905,69,17,9,51,38,89,4,0,0,2,1,0,1,0,no
10249,F,PA,17057,170,13,9,28,254,282,2,1,0,1,0,0,0,0,no
10250,F,NJ,7481,74,15,17,19,81,100,1,0,0,0,0,0,1,0,no
10251,F,PA,19111,191,11,14,19,47,66,1,1,0,0,0,0,0,0,no
10252,F,MD,21234,212,21,25,18,116,134,1,0,0,1,0,0,0,0,no
10253,M,MA,2050,20,15,17,31,257,288,2,0,0,0,0,0,1,1,no
10254,F,MD,21144,211,19,23,19,168,187,1,1,0,0,0,0,0,0,no
10255,F,NJ,8831,88,9,11,33,117,150,2,0,0,0,0,1,0,1,no
10256,F,NJ,8882,88,35,36,29,108,137,2,1,0,1,0,0,0,0,no
10257,F,NY,11040,110,29,30,29,169,198,2,1,0,1,0,0,0,0,no
10258,M,PA,18471,184,35,31,32,151,183,2,0,0,1,0,0,0,1,no
10259,M,NY,11001,110,69,5,139,190,329,12,2,1,2,2,0,2,3,no
10260,M,NJ,8247,82,33,27,27,71,98,2,0,1,1,0,0,0,0,no
10261,F,PA,19128,191,27,10,60,113,173,5,1,0,3,0,0,0,1,no
10262,F,CT,6082,60,47,18,115,295,410,10,3,0,3,1,0,1,2,no
10263,M,NJ,7760,77,13,18,16,17,33,1,0,0,0,0,0,1,0,no
10264,F,NJ,7480,74,13,17,18,219,237,1,0,1,0,0,0,0,0,no
10265,F,PA,15101,151,65,16,120,235,355,11,5,1,3,1,0,1,0,no
10266,F,NJ,8033,80,31,17,91,228,319,8,2,1,1,1,2,0,1,no
10267,F,MD,21222,212,31,14,64,184,248,5,1,0,2,0,1,1,0,no
10268,M,MA,1886,18,11,10,29,270,299,2,1,0,0,1,0,0,0,no
10269,M,MD,21133,211,61,7,139,94,233,12,2,1,6,0,1,0,2,no
10270,F,NY,11703,117,11,6,33,235,268,2,0,0,1,0,0,0,1,no
10271,F,NJ,8733,87,55,7,118,69,187,10,2,1,1,2,1,1,2,yes
10272,M,NY,11710,117,35,17,127,336,463,11,3,0,2,3,1,0,2,no
10273,F,NY,11566,115,13,18,19,116,135,1,0,0,0,0,1,0,0,no
10274,F,NY,11797,117,13,17,19,297,316,1,0,0,1,0,0,0,0,no
10275,F,NJ,8043,80,9,7,26,55,81,2,2,0,0,0,0,0,0,no
10276,F,NJ,8865,88,57,18,108,92,200,9,1,1,2,1,2,1,1,no
10277,F,NJ,7730,77,43,19,84,144,228,7,2,1,1,1,0,2,0,no
10278,F,PA,19006,190,3,5,19,291,310,1,0,0,0,0,0,1,0,no
10279,F,PA,19320,193,21,19,29,22,51,2,0,0,0,2,0,0,0,no
10280,M,NJ,7110,71,37,33,37,260,297,3,1,0,0,1,0,0,1,no
10281,F,CT,6810,68,27,33,15,57,72,1,0,0,1,0,0,0,0,no
10282,M,NJ,8755,87,51,17,122,164,286,11,2,0,3,4,0,1,1,no
10283,F,NJ,7712,77,11,13,16,150,166,1,0,0,1,0,0,0,0,no
10284,F,MA,1834,18,39,9,81,186,267,7,1,1,1,2,0,2,0,no
10285,M,VT,5855,58,25,19,63,238,301,5,0,0,1,2,0,1,1,no
10286,M,NY,10304,103,5,9,18,69,87,1,0,0,0,0,1,0,0,yes
10287,M,MA,2720,27,25,26,26,123,149,2,2,0,0,0,0,0,0,no
10288,M,NY,10461,104,57,38,115,201,316,10,2,2,2,1,1,1,1,no
10289,F,NJ,7052,70,21,19,38,20,58,3,1,1,1,0,0,0,0,no
10290,F,NY,10710,107,17,14,26,173,199,2,2,0,0,0,0,0,0,no
10291,F,NY,10970,109,45,17,83,324,407,7,2,1,1,1,0,1,1,no
10292,F,NY,11357,113,15,15,31,282,313,2,1,0,0,0,0,1,0,no
10293,M,NJ,8751,87,33,5,149,98,247,12,3,0,4,1,1,1,2,no
10294,F,NJ,8071,80,23,20,32,296,328,2,0,0,0,1,0,1,0,no
10295,M,MA,2332,23,57,20,108,264,372,9,0,2,2,2,1,2,0,no
10296,M,NJ,7002,70,5,9,28,44,72,2,1,0,0,1,0,0,0,no
10297,F,MD,20769,207,13,13,31,250,281,2,1,0,0,1,0,0,0,no
10298,F,NJ,8037,80,43,14,93,69,162,8,1,1,3,1,0,1,1,no
10299,F,MA,2035,20,31,31,31,288,319,2,1,0,1,0,0,0,0,no
10300,F,PA,19609,196,23,28,16,121,137,1,0,0,0,0,1,0,0,no
10301,M,NY,10304,103,59,14,134,225,359,12,2,4,2,2,0,2,0,no
10302,M,PA,19116,191,11,15,17,132,149,1,0,1,0,0,0,0,0,no
10303,F,MD,21122,211,15,19,19,92,111,1,0,1,0,0,0,0,0,no
10304,F,PA,18103,181,71,9,128,245,373,11,3,1,1,1,1,2,2,no
10305,M,NY,10970,109,9,15,17,220,237,1,0,1,0,0,0,0,0,no
10306,M,PA,18103,181,53,26,116,151,267,10,2,0,3,3,1,0,1,no
10307,M,NY,11501,115,25,4,50,81,131,4,1,1,1,0,0,0,1,no
10308,F,NJ,8872,88,3,8,18,216,234,1,0,0,0,1,0,0,0,no
10309,F,NY,10954,109,5,4,31,168,199,2,0,0,1,1,0,0,0,no
10310,F,PA,17356,173,23,17,33,236,269,2,0,1,0,0,0,1,0,no
10311,F,DE,19804,198,17,9,39,225,264,3,1,0,0,1,1,0,0,no
10312,F,MA,2072,20,73,39,115,329,444,10,3,1,3,1,1,0,1,no
10313,M,MD,20815,208,13,14,27,7,34,2,0,1,0,1,0,0,0,no
10314,F,NY,11554,115,19,14,69,304,373,5,0,0,0,0,2,1,2,no
10315,F,PA,19072,190,21,24,17,48,65,1,0,0,0,0,0,0,1,no
10316,M,NY,11234,112,19,19,30,34,64,2,0,0,0,1,0,0,1,no
10317,F,NY,13903,139,15,11,32,4,36,2,0,0,1,0,0,0,1,no
10318,M,NY,13215,132,51,19,124,37,161,10,1,0,2,2,2,2,1,no
10319,M,NY,11210,112,9,6,30,19,49,2,0,0,1,1,0,0,0,no
10320,F,NY,11372,113,25,5,138,58,196,12,3,2,2,1,0,0,4,no
10321,F,NJ,7930,79,7,11,18,161,179,1,0,0,1,0,0,0,0,no
10322,F,NJ,8525,85,3,9,19,205,224,1,0,0,1,0,0,0,0,no
10323,M,NJ,7470,74,33,15,133,153,286,12,3,0,2,4,1,1,1,no
10324,F,NY,11412,114,5,9,18,259,277,1,0,0,0,1,0,0,0,no
10325,M,NJ,7940,79,31,18,66,252,318,6,3,1,0,1,0,1,0,no
10326,F,NJ,8558,85,17,15,35,230,265,2,0,0,0,0,1,0,1,no
10327,F,NY,12581,125,9,6,28,68,96,2,2,0,0,0,0,0,0,no
10328,F,NJ,8012,80,43,12,124,300,424,11,6,0,4,0,1,0,0,no
10329,F,MD,21219,212,15,19,21,298,319,1,1,0,0,0,0,0,0,no
10330,M,PA,18954,189,43,7,123,92,215,11,3,2,3,0,0,2,1,no
10331,F,CT,6351,63,13,17,16,220,236,1,0,1,0,0,0,0,0,no
10332,M,NY,14202,142,23,25,21,291,312,1,1,0,0,0,0,0,0,no
10333,F,NY,13041,130,33,33,29,255,284,2,0,1,1,0,0,0,0,no
10334,M,NY,11236,112,17,20,19,14,33,1,0,0,0,0,0,0,1,no
10335,F,NY,11354,113,15,14,31,59,90,2,0,0,1,0,0,0,1,no
